game_id,queen,pawns,date,time,winner
0,computer,computer,20230113,10:04:17,Queen
1,computer,computer,20230113,10:04:39,Queen
2,computer,computer,20230113,10:05:19,Queen
3,computer,computer,20230113,10:05:40,Pawns
4,computer,computer,20230113,10:05:40,Pawns
5,computer,computer,20230113,10:06:04,Pawns
6,computer,computer,20230113,10:06:20,Pawns
7,computer,computer,20230113,10:06:42,Pawns
8,computer,computer,20230113,10:06:47,Pawns
9,computer,computer,20230113,10:07:10,Pawns
10,computer,computer,20230113,10:07:10,Pawns
11,computer,computer,20230113,10:07:10,Pawns
12,computer,computer,20230113,10:07:40,Queen
13,computer,computer,20230113,10:07:40,Pawns
14,computer,computer,20230113,10:07:40,Pawns
15,computer,computer,20230113,10:08:05,Pawns
16,computer,computer,20230113,10:08:28,Queen
17,computer,computer,20230113,10:08:49,Pawns
18,computer,computer,20230113,10:08:50,Pawns
19,computer,computer,20230113,10:09:15,Pawns
20,computer,computer,20230113,10:09:16,Pawns
21,computer,computer,20230113,10:09:21,Pawns
22,computer,computer,20230113,10:09:30,Pawns
23,computer,computer,20230113,10:09:30,Pawns
24,computer,computer,20230113,10:10:00,Queen
25,computer,computer,20230113,10:10:36,Queen
26,computer,computer,20230113,10:10:42,Pawns
27,computer,computer,20230113,10:10:43,Pawns
28,computer,computer,20230113,10:10:50,Pawns
29,computer,computer,20230113,10:10:50,Pawns
30,computer,computer,20230113,10:10:51,Pawns
31,computer,computer,20230113,10:11:27,Queen
32,computer,computer,20230113,10:11:46,Pawns
33,computer,computer,20230113,10:11:52,Pawns
34,computer,computer,20230113,10:12:26,Queen
35,computer,computer,20230113,10:12:26,Pawns
36,computer,computer,20230113,10:12:59,Queen
37,computer,computer,20230113,10:13:17,Pawns
38,computer,computer,20230113,10:13:23,Pawns
39,computer,computer,20230113,10:13:48,Pawns
40,computer,computer,20230113,10:13:54,Pawns
41,computer,computer,20230113,10:14:17,Pawns
42,computer,computer,20230113,10:14:18,Pawns
43,computer,computer,20230113,10:14:40,Pawns
44,computer,computer,20230113,10:14:40,Pawns
45,computer,computer,20230113,10:14:40,Pawns
46,computer,computer,20230113,10:15:04,Pawns
47,computer,computer,20230113,10:15:10,Pawns
48,computer,computer,20230113,10:15:35,Queen
49,computer,computer,20230113,10:15:41,Pawns
50,computer,computer,20230113,10:15:42,Pawns
51,computer,computer,20230113,10:15:47,Pawns
52,computer,computer,20230113,10:16:18,Queen
53,computer,computer,20230113,10:16:19,Pawns
54,computer,computer,20230113,10:16:26,Pawns
55,computer,computer,20230113,10:16:52,Pawns
56,computer,computer,20230113,10:17:09,Pawns
57,computer,computer,20230113,10:17:22,Pawns
58,computer,computer,20230113,10:17:22,Pawns
59,computer,computer,20230113,10:17:47,Pawns
60,computer,computer,20230113,10:17:47,Pawns
61,computer,computer,20230113,10:18:15,Pawns
62,computer,computer,20230113,10:18:15,Pawns
63,computer,computer,20230113,10:18:40,Pawns
64,computer,computer,20230113,10:19:09,Queen
65,computer,computer,20230113,10:19:15,Pawns
66,computer,computer,20230113,10:19:24,Pawns
67,computer,computer,20230113,10:19:25,Pawns
68,computer,computer,20230113,10:19:45,Pawns
69,computer,computer,20230113,10:20:10,Pawns
70,computer,computer,20230113,10:20:10,Pawns
71,computer,computer,20230113,10:20:36,Queen
72,computer,computer,20230113,10:20:36,Pawns
73,computer,computer,20230113,10:20:48,Pawns
74,computer,computer,20230113,10:21:04,Pawns
75,computer,computer,20230113,10:21:04,Pawns
76,computer,computer,20230113,10:21:04,Pawns
77,computer,computer,20230113,10:21:27,Pawns
78,computer,computer,20230113,10:21:38,Pawns
79,computer,computer,20230113,10:21:39,Pawns
80,computer,computer,20230113,10:21:58,Pawns
81,computer,computer,20230113,10:21:58,Pawns
82,computer,computer,20230113,10:22:22,Pawns
83,computer,computer,20230113,10:23:02,Pawns
84,computer,computer,20230113,10:23:03,Pawns
85,computer,computer,20230113,10:23:03,Pawns
86,computer,computer,20230113,10:23:27,Pawns
87,computer,computer,20230113,10:23:27,Pawns
88,computer,computer,20230113,10:23:38,Pawns
89,computer,computer,20230113,10:23:39,Pawns
90,computer,computer,20230113,10:23:48,Pawns
91,computer,computer,20230113,10:24:21,Queen
92,computer,computer,20230113,10:24:21,Pawns
93,computer,computer,20230113,10:24:21,Pawns
94,computer,computer,20230113,10:24:49,Pawns
95,computer,computer,20230113,10:25:23,Queen
96,computer,computer,20230113,10:25:44,Pawns
97,computer,computer,20230113,10:26:16,Queen
98,computer,computer,20230113,10:26:17,Pawns
